epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,7904.37,1.67231,1.76869,1.47723,0.59197,0.50647,0.53697,0.27375,1.6971,1.69485,1.5089,0.0005941,0.0005941,0.0005941
43,8090.13,1.66682,1.76521,1.47265,0.58915,0.50847,0.53731,0.27418,1.69628,1.69346,1.50829,0.0005842,0.0005842,0.0005842
44,8276.55,1.6633,1.75795,1.47275,0.58843,0.508,0.53797,0.27492,1.69611,1.69105,1.50812,0.0005743,0.0005743,0.0005743
45,8463.34,1.65707,1.75588,1.45942,0.58976,0.50734,0.53817,0.27499,1.696,1.68808,1.50739,0.0005644,0.0005644,0.0005644
46,8649.1,1.65755,1.74047,1.46365,0.59386,0.50833,0.53827,0.27502,1.69531,1.68519,1.50728,0.0005545,0.0005545,0.0005545
47,8835.2,1.65543,1.74011,1.45815,0.59006,0.5098,0.53933,0.27558,1.69517,1.68246,1.50667,0.0005446,0.0005446,0.0005446
48,9021.52,1.64287,1.72172,1.45627,0.59292,0.51269,0.5403,0.27629,1.69525,1.68005,1.50625,0.0005347,0.0005347,0.0005347
49,9210.79,1.63935,1.70519,1.45076,0.59881,0.51111,0.54158,0.27668,1.69471,1.67766,1.50563,0.0005248,0.0005248,0.0005248
50,9395.04,1.6409,1.71476,1.44967,0.60226,0.51085,0.54312,0.278,1.69397,1.67627,1.50432,0.0005149,0.0005149,0.0005149
51,9580.55,1.63881,1.70589,1.45025,0.60541,0.50811,0.54391,0.27851,1.69372,1.67407,1.50339,0.000505,0.000505,0.000505
52,9766.04,1.64052,1.70423,1.45136,0.60653,0.50837,0.54467,0.27887,1.69396,1.67114,1.5027,0.0004951,0.0004951,0.0004951
53,9952.17,1.63119,1.70243,1.44658,0.60501,0.50647,0.54527,0.27905,1.69309,1.66988,1.50165,0.0004852,0.0004852,0.0004852
54,10146.9,1.63361,1.70025,1.44546,0.60652,0.50671,0.54535,0.27944,1.69258,1.6686,1.50136,0.0004753,0.0004753,0.0004753
55,10326.7,1.63152,1.68106,1.44301,0.61143,0.50547,0.54633,0.27979,1.69128,1.66707,1.50001,0.0004654,0.0004654,0.0004654
56,10512.7,1.6262,1.67331,1.43654,0.61512,0.50603,0.54706,0.28029,1.69094,1.66509,1.49951,0.0004555,0.0004555,0.0004555
57,10698.5,1.61482,1.65212,1.43075,0.61485,0.50666,0.54739,0.28042,1.69054,1.6634,1.49917,0.0004456,0.0004456,0.0004456
58,10885.2,1.61458,1.65857,1.43173,0.6118,0.50902,0.54807,0.28134,1.69039,1.66154,1.4983,0.0004357,0.0004357,0.0004357
59,11070.7,1.61469,1.65593,1.43151,0.61776,0.50765,0.54899,0.28181,1.68976,1.65938,1.49724,0.0004258,0.0004258,0.0004258
60,11257.3,1.61417,1.6518,1.43066,0.62055,0.50559,0.54991,0.28254,1.68848,1.65658,1.49608,0.0004159,0.0004159,0.0004159
61,11442.5,1.6113,1.64614,1.42469,0.61807,0.51042,0.55022,0.28294,1.68896,1.65412,1.49543,0.000406,0.000406,0.000406
62,11628.5,1.61189,1.65096,1.42732,0.61733,0.51022,0.5516,0.2838,1.6888,1.65111,1.49513,0.0003961,0.0003961,0.0003961
63,11814.4,1.60277,1.63596,1.41965,0.61957,0.50694,0.55182,0.28405,1.68849,1.64733,1.49428,0.0003862,0.0003862,0.0003862
64,11999.7,1.60633,1.63576,1.42004,0.62356,0.50623,0.55325,0.28506,1.68777,1.64441,1.49347,0.0003763,0.0003763,0.0003763
65,12185.5,1.60248,1.62697,1.41713,0.62241,0.5088,0.55449,0.28548,1.68655,1.64152,1.49244,0.0003664,0.0003664,0.0003664
66,12371.2,1.60493,1.62964,1.41999,0.61503,0.51753,0.55588,0.28564,1.68673,1.63881,1.49137,0.0003565,0.0003565,0.0003565
67,12556.9,1.59428,1.61775,1.41106,0.61971,0.51448,0.5568,0.28619,1.68688,1.63677,1.49079,0.0003466,0.0003466,0.0003466
68,12742.4,1.58515,1.60999,1.40948,0.62095,0.51487,0.55767,0.28659,1.68715,1.63443,1.48978,0.0003367,0.0003367,0.0003367
69,12928.4,1.59126,1.60268,1.41175,0.61618,0.51741,0.55814,0.28734,1.6872,1.63225,1.48958,0.0003268,0.0003268,0.0003268
70,13113.6,1.58904,1.59653,1.40474,0.61877,0.51628,0.55804,0.28727,1.68704,1.6323,1.48927,0.0003169,0.0003169,0.0003169
71,13299.3,1.5877,1.59765,1.40702,0.62097,0.51682,0.55897,0.28742,1.68757,1.62996,1.48896,0.000307,0.000307,0.000307
72,13484.9,1.5811,1.58872,1.40443,0.62145,0.51967,0.55956,0.28782,1.68767,1.62864,1.48851,0.0002971,0.0002971,0.0002971
73,13670.5,1.57607,1.57461,1.3974,0.62132,0.52052,0.55992,0.2884,1.68836,1.62628,1.48816,0.0002872,0.0002872,0.0002872
74,13856.3,1.58193,1.57515,1.39854,0.61942,0.51887,0.56021,0.28895,1.68856,1.62406,1.48744,0.0002773,0.0002773,0.0002773
75,14042.3,1.57523,1.57048,1.39543,0.62136,0.52032,0.56139,0.28939,1.68918,1.62076,1.48761,0.0002674,0.0002674,0.0002674
76,14228.3,1.57854,1.5772,1.39666,0.62176,0.52094,0.5623,0.28988,1.68899,1.62001,1.48739,0.0002575,0.0002575,0.0002575
77,14414.1,1.57471,1.56914,1.3982,0.62093,0.52133,0.56345,0.29021,1.68942,1.61739,1.48702,0.0002476,0.0002476,0.0002476
